Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,100n,C_0603_1608Metric,113.03,-67.31,0.0,top
C11,10p,C_0603_1608Metric,126.238,-71.12,90.0,top
C12,10p,C_0603_1608Metric,126.238,-67.564,-90.0,top
C13,10p,C_0603_1608Metric,124.206,-75.692,180.0,top
C14,10p,C_0603_1608Metric,124.206,-73.914,180.0,top
C15,100n,C_0603_1608Metric,114.808,-117.094,0.0,top
C16,100n,C_0603_1608Metric,151.078,-66.04,-90.0,top
C4,100n,C_0603_1608Metric,98.806,-113.411,-90.0,top
C5,100n,C_0603_1608Metric,108.712,-104.648,90.0,top
C7,100n,C_0603_1608Metric,122.428,-70.358,-90.0,top
C8,100n,C_0603_1608Metric,124.206,-77.47,180.0,top
C9,100n,C_0603_1608Metric,109.22,-76.2,90.0,top
D1,1N5819,D_SOD-323,116.84,-113.792,0.0,top
D2,ZMM5V6,D_MiniMELF,97.79,-110.49,180.0,top
D3,1N5819,D_SOD-323,102.87,-108.712,180.0,top
D4,1N4148WS,D_SOD-323,124.587,-105.791,90.0,top
J1,USB Type C,USB_C_Receptacle_Palconn_UTC16-G,127.0,-116.346,0.0,top
Q1,AO3401A,SOT-23,97.79,-107.315,270.0,top
Q10,2N7002,SOT-23,113.665,-84.709,90.0,top
Q11,2N7002,SOT-23,117.475,-84.709,90.0,top
Q12,2N7002,SOT-23,121.285,-84.709,90.0,top
Q13,2N7002,SOT-23,125.095,-84.709,90.0,top
Q14,2N7002,SOT-23,128.905,-84.709,90.0,top
Q15,2N7002,SOT-23,132.715,-84.709,90.0,top
Q16,2N7002,SOT-23,136.525,-84.709,90.0,top
Q17,2N7002,SOT-23,140.335,-84.709,90.0,top
Q18,2N7002,SOT-23,144.145,-84.709,90.0,top
Q19,2N7002,SOT-23,147.955,-84.709,90.0,top
Q2,2N7002,SOT-23,83.185,-84.709,90.0,top
Q20,2N7002,SOT-23,151.765,-84.709,90.0,top
Q21,2N7002,SOT-23,155.575,-84.709,90.0,top
Q22,2N7002,SOT-23,159.385,-84.709,90.0,top
Q23,2N7002,SOT-23,163.195,-84.709,90.0,top
Q24,2N7002,SOT-23,167.005,-84.709,90.0,top
Q25,2N7002,SOT-23,170.815,-84.709,90.0,top
Q3,2N7002,SOT-23,86.995,-84.709,90.0,top
Q4,2N7002,SOT-23,90.805,-84.709,90.0,top
Q5,2N7002,SOT-23,94.615,-84.709,90.0,top
Q6,2N7002,SOT-23,98.425,-84.709,90.0,top
Q7,2N7002,SOT-23,102.235,-84.709,90.0,top
Q8,2N7002,SOT-23,106.045,-84.709,90.0,top
Q9,2N7002,SOT-23,109.855,-84.709,90.0,top
R1,5.1k,R_0603_1608Metric,128.778,-111.061,90.0,top
