Comment,Designator,Footprint,LCSC
6N137,U3,SSO-8_6.7x9.8mm_P2.54mm_Clearance8mm,C110020
8 MHz,Y1,Crystal_SMD_HC49-SD,C12674
100n,"C10,C15,C16,C4,C5,C7,C8,C9",C_0603_1608Metric,C14663
AO3401A,Q1,SOT-23,C15127
10p,"C11,C12,C13,C14",C_0603_1608Metric,C1634
1N5819,"D1,D3",D_SOD-323,C191023
1k,R8,R_0603_1608Metric,C21190
1N4148WS,D4,D_SOD-323,C2128
1.5k,R36,R_0603_1608Metric,C22843
220k,R37,R_0603_1608Metric,C22961
220,R4,R_0603_1608Metric,C22962
330k,R38,R_0603_1608Metric,C23137
470,R5,R_0603_1608Metric,C23179
47,"R6,R7",R_0603_1608Metric,C23182
5.1k,"R1,R2",R_0603_1608Metric,C23186
100k,"R10,R11,R3",R_0603_1608Metric,C25803
10k,"R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R9",R_0603_1608Metric,C25804
USB Type C,J1,USB_C_Receptacle_Palconn_UTC16-G,C2927038
32.768 KHz,Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
ZMM5V6,D2,D_MiniMELF,C5345993
74HC595,"U4,U5,U6",SO-16_3.9x9.9mm_P1.27mm,C5947
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186
2N7002,"Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q2,Q20,Q21,Q22,Q23,Q24,Q25,Q3,Q4,Q5,Q6,Q7,Q8,Q9",SOT-23,C8545
STM32F103C8T6,U1,LQFP-48_7x7mm_P0.5mm,C8734
